start_lat,start_long,time_since_last_journey,end_lat,end_long,time_at_current_location
0,0,2021-05-01 00:00:01,53.3819,-6.24468,0
53.3819,-6.24468,2021-05-01 00:00:01,53.3818,-6.24472,23401
53.3818,-6.24472,2021-05-01 06:30:02,53.3818,-6.24473,16199
53.3818,-6.24473,2021-05-01 11:00:01,53.3469,-6.26325,1801
53.3469,-6.26325,2021-05-01 11:30:02,53.3468,-6.26328,3602
53.3468,-6.26328,2021-05-01 12:30:04,53.3479,-6.24745,1798
53.3479,-6.24745,2021-05-01 13:00:02,53.3478,-6.24779,28800
53.3478,-6.24779,2021-05-01 21:00:02,53.3479,-6.24769,28800
53.3479,-6.24769,2021-05-02 05:00:02,53.348,-6.24788,12600
53.348,-6.24788,2021-05-02 08:30:02,53.3565,-6.23219,7200
53.3565,-6.23219,2021-05-02 10:30:02,53.3568,-6.23202,5410
53.3568,-6.23202,2021-05-02 12:00:12,53.3495,-6.24354,1796
53.3495,-6.24354,2021-05-02 12:30:08,53.3329,-6.26482,1797
53.3329,-6.26482,2021-05-02 13:00:05,53.3328,-6.26467,3597
53.3328,-6.26467,2021-05-02 14:00:02,53.3546,-6.26644,1810
53.3546,-6.26644,2021-05-02 14:30:12,53.3615,-6.29857,1789
53.3615,-6.29857,2021-05-02 15:00:01,53.3606,-6.1823,12601
53.3606,-6.1823,2021-05-02 18:30:02,53.3607,-6.1823,5400
53.3607,-6.1823,2021-05-02 20:00:02,53.3606,-6.1823,28800
53.3606,-6.1823,2021-05-03 04:00:02,53.3607,-6.18233,28800
53.3607,-6.18233,2021-05-03 12:00:02,53.3607,-6.18237,28800
53.3607,-6.18237,2021-05-03 20:00:02,53.3607,-6.18231,28800
53.3607,-6.18231,2021-05-04 04:00:02,53.3606,-6.18237,28812
53.3606,-6.18237,2021-05-04 12:00:14,53.3606,-6.18234,28788
53.3606,-6.18234,2021-05-04 20:00:02,53.3607,-6.18231,28800
53.3607,-6.18231,2021-05-05 04:00:02,53.3606,-6.18232,28800
53.3606,-6.18232,2021-05-05 12:00:02,53.3607,-6.18228,28802
53.3607,-6.18228,2021-05-05 20:00:04,53.3607,-6.18231,28798
53.3607,-6.18231,2021-05-06 04:00:02,53.3607,-6.18218,28804
53.3607,-6.18218,2021-05-06 12:00:06,53.3607,-6.18227,28796
53.3607,-6.18227,2021-05-06 20:00:02,53.3606,-6.18223,28800
53.3606,-6.18223,2021-05-07 04:00:02,53.3606,-6.1823,28800
53.3606,-6.1823,2021-05-07 12:00:02,53.3607,-6.18227,28801
53.3607,-6.18227,2021-05-07 20:00:03,53.3607,-6.18225,28811
53.3607,-6.18225,2021-05-08 04:00:14,53.3607,-6.18227,28794
53.3607,-6.18227,2021-05-08 12:00:08,53.3607,-6.18231,28794
53.3607,-6.18231,2021-05-08 20:00:02,53.3606,-6.18232,28800
53.3606,-6.18232,2021-05-09 04:00:02,53.3607,-6.18231,28800
53.3607,-6.18231,2021-05-09 12:00:02,53.3607,-6.18232,28800
53.3607,-6.18232,2021-05-09 20:00:02,53.3607,-6.18229,28800
53.3607,-6.18229,2021-05-10 04:00:02,53.3607,-6.18232,28802
53.3607,-6.18232,2021-05-10 12:00:04,53.3606,-6.18229,5398
53.3606,-6.18229,2021-05-10 13:30:02,53.3606,-6.18228,57600
53.3606,-6.18228,2021-05-11 05:30:02,53.3606,-6.18227,28801
53.3606,-6.18227,2021-05-11 13:30:03,53.3608,-6.18249,12598
53.3608,-6.18249,2021-05-11 17:00:01,53.3626,-6.25181,1804
53.3626,-6.25181,2021-05-11 17:30:05,53.3625,-6.25194,53997
53.3625,-6.25194,2021-05-12 08:30:02,53.3696,-6.27762,3600
53.3696,-6.27762,2021-05-12 09:30:02,53.3696,-6.2776,28803
53.3696,-6.2776,2021-05-12 17:30:05,53.3696,-6.27745,28797
53.3696,-6.27745,2021-05-13 01:30:02,53.3696,-6.27764,57600
53.3696,-6.27764,2021-05-13 17:30:02,53.3696,-6.27758,28800
53.3696,-6.27758,2021-05-14 01:30:02,53.3696,-6.2776,21607
53.3696,-6.2776,2021-05-14 07:30:09,53.3389,-6.24436,1798
53.3389,-6.24436,2021-05-14 08:00:07,53.3409,-6.25729,1804
53.3409,-6.25729,2021-05-14 08:30:11,53.3414,-6.25722,28791
53.3414,-6.25722,2021-05-14 16:30:02,53.3254,-6.25503,10800
53.3254,-6.25503,2021-05-14 19:30:02,53.3254,-6.25508,5400
53.3254,-6.25508,2021-05-14 21:00:02,53.3411,-6.26905,1800
53.3411,-6.26905,2021-05-14 21:30:02,53.3411,-6.26875,28800
53.3411,-6.26875,2021-05-15 05:30:02,53.3413,-6.26881,28801
53.3413,-6.26881,2021-05-15 13:30:03,53.3412,-6.26873,7199
53.3412,-6.26873,2021-05-15 15:30:02,53.341,-6.27212,1800
53.341,-6.27212,2021-05-15 16:00:02,53.341,-6.27233,28800
53.341,-6.27233,2021-05-16 00:00:02,53.3487,-6.26653,28803
53.3487,-6.26653,2021-05-16 08:00:05,53.3488,-6.26686,14400
53.3488,-6.26686,2021-05-16 12:00:05,53.3625,-6.23711,1797
53.3625,-6.23711,2021-05-16 12:30:02,53.3626,-6.23701,1803
53.3626,-6.23701,2021-05-16 13:00:05,53.3627,-6.23687,5397
53.3627,-6.23687,2021-05-16 14:30:02,53.3625,-6.23693,1799
53.3625,-6.23693,2021-05-16 15:00:01,53.3619,-6.21669,7205
53.3619,-6.21669,2021-05-16 17:00:06,53.362,-6.21668,1798
53.362,-6.21668,2021-05-16 17:30:04,53.3634,-6.22428,3598
53.3634,-6.22428,2021-05-16 18:30:02,53.3634,-6.22423,7200
53.3634,-6.22423,2021-05-16 20:30:02,53.3634,-6.22429,28800
53.3634,-6.22429,2021-05-17 04:30:02,53.3634,-6.22422,28799
53.3634,-6.22422,2021-05-17 12:30:01,53.3634,-6.22426,23402
53.3634,-6.22426,2021-05-17 19:00:03,53.3634,-6.22433,1804
53.3634,-6.22433,2021-05-17 19:30:07,53.3633,-6.22429,28795
53.3633,-6.22429,2021-05-18 03:30:02,53.3634,-6.22427,28800
