start_lat,start_long,time_since_last_journey,end_lat,end_long,time_at_current_location
0,0,2021-05-01 00:00:01,53.3213,-6.23483,0
53.3213,-6.23483,2021-05-01 00:00:01,53.3214,-6.23478,18001
53.3214,-6.23478,2021-05-01 05:00:02,53.3252,-6.25524,18000
53.3252,-6.25524,2021-05-01 10:00:02,53.3252,-6.25521,1800
53.3252,-6.25521,2021-05-01 10:30:02,53.3454,-6.27253,1799
53.3454,-6.27253,2021-05-01 11:00:01,53.3399,-6.26228,1801
53.3399,-6.26228,2021-05-01 11:30:02,53.3406,-6.26236,7202
53.3406,-6.26236,2021-05-01 13:30:04,53.3483,-6.24339,1802
53.3483,-6.24339,2021-05-01 14:00:06,53.349,-6.2436,7196
53.349,-6.2436,2021-05-01 16:00:02,53.3254,-6.25507,1801
53.3254,-6.25507,2021-05-01 16:30:03,53.3323,-6.27518,3599
53.3323,-6.27518,2021-05-01 17:30:02,53.3426,-6.23924,7203
53.3426,-6.23924,2021-05-01 19:30:05,53.3423,-6.23947,28797
53.3423,-6.23947,2021-05-02 03:30:02,53.3426,-6.23918,25200
53.3426,-6.23918,2021-05-02 10:30:02,53.3706,-6.23869,1803
53.3706,-6.23869,2021-05-02 11:00:05,53.3705,-6.23883,3607
53.3705,-6.23883,2021-05-02 12:00:12,53.3901,-6.07174,5392
53.3901,-6.07174,2021-05-02 13:30:04,53.371,-6.23863,7198
53.371,-6.23863,2021-05-02 15:30:02,53.3709,-6.23861,28802
53.3709,-6.23861,2021-05-02 23:30:04,53.371,-6.23864,28798
53.371,-6.23864,2021-05-03 07:30:02,53.371,-6.2385,57600
53.371,-6.2385,2021-05-03 23:30:02,53.371,-6.23858,28799
53.371,-6.23858,2021-05-04 07:30:01,53.3707,-6.23857,28802
53.3707,-6.23857,2021-05-04 15:30:03,53.3708,-6.23855,28802
53.3708,-6.23855,2021-05-04 23:30:05,53.371,-6.23863,28797
53.371,-6.23863,2021-05-05 07:30:02,53.3709,-6.23855,27000
53.3709,-6.23855,2021-05-05 15:00:02,53.3503,-6.27261,1800
53.3503,-6.27261,2021-05-05 15:30:02,53.3455,-6.23806,7200
53.3455,-6.23806,2021-05-05 17:30:02,53.3451,-6.23802,28800
53.3451,-6.23802,2021-05-06 01:30:02,53.3455,-6.23793,28800
53.3455,-6.23793,2021-05-06 09:30:02,53.3456,-6.2381,9004
53.3456,-6.2381,2021-05-06 12:00:06,53.3457,-6.23827,5396
53.3457,-6.23827,2021-05-06 13:30:02,53.3457,-6.23816,5405
53.3457,-6.23816,2021-05-06 15:00:07,53.3451,-6.30653,1795
53.3451,-6.30653,2021-05-06 15:30:02,53.343,-6.26333,1799
53.343,-6.26333,2021-05-06 16:00:01,53.3454,-6.26736,16201
53.3454,-6.26736,2021-05-06 20:30:02,53.3455,-6.26742,28800
53.3455,-6.26742,2021-05-07 04:30:02,53.3455,-6.26736,8999
53.3455,-6.26736,2021-05-07 07:00:01,53.3339,-6.24488,1805
53.3339,-6.24488,2021-05-07 07:30:06,53.3433,-6.23897,21608
53.3433,-6.23897,2021-05-07 13:30:14,53.3433,-6.23878,3588
53.3433,-6.23878,2021-05-07 14:30:02,53.309,-6.28386,1800
53.309,-6.28386,2021-05-07 15:00:02,53.3163,-6.25313,1800
53.3163,-6.25313,2021-05-07 15:30:02,53.3163,-6.25315,3607
